governorate,settlement_count,settlement_area_dunums
Ramallah,26,10243.249043603228
Hebron,25,3811.4100673399566
Jerusalem,21,14668.69181045695
Salfit,21,10307.666503027009
Nablus,20,5193.356793087403
Jericho,19,4290.458360354527
Bethlehem,16,6708.743768176454
Qalqilya,8,4298.900939009044
Jenin,7,1067.0019039873628
Tubas,7,1117.9648346534636
Tulkarm,4,1005.2834442897995
