date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2016-07-01,2016,7,July,West Bank,Nablus,PS0115,political_violence,3,1
2016-07-01,2016,7,July,West Bank,Ramallah and Al Bireh,PS0130,political_violence,7,0
2016-07-01,2016,7,July,West Bank,Bethlehem,PS0145,political_violence,8,0
2016-07-01,2016,7,July,West Bank,Al Quds,PS0140,political_violence,6,3
2016-07-01,2016,7,July,West Bank,Hebron,PS0150,political_violence,16,6
2016-07-01,2016,7,July,West Bank,Tulkarm,PS0110,political_violence,0,0
2016-07-01,2016,7,July,West Bank,Tubas,PS0105,political_violence,0,0
2016-08-01,2016,8,August,West Bank,Jenin,PS0101,political_violence,5,0
2016-08-01,2016,8,August,West Bank,Jericho,PS0135,political_violence,0,0
2016-08-01,2016,8,August,West Bank,Qalqilya,PS0120,political_violence,2,0
2016-08-01,2016,8,August,West Bank,Salfit,PS0125,political_violence,2,1
2016-08-01,2016,8,August,West Bank,Nablus,PS0115,political_violence,8,1
2016-08-01,2016,8,August,West Bank,Ramallah and Al Bireh,PS0130,political_violence,4,1
2016-08-01,2016,8,August,West Bank,Bethlehem,PS0145,political_violence,7,0
2016-08-01,2016,8,August,West Bank,Al Quds,PS0140,political_violence,8,0
2016-08-01,2016,8,August,West Bank,Hebron,PS0150,political_violence,9,3
2016-08-01,2016,8,August,West Bank,Tulkarm,PS0110,political_violence,0,0
2016-08-01,2016,8,August,West Bank,Tubas,PS0105,political_violence,1,0
2016-09-01,2016,9,September,West Bank,Jenin,PS0101,political_violence,3,0
2016-09-01,2016,9,September,West Bank,Jericho,PS0135,political_violence,0,0
2016-09-01,2016,9,September,West Bank,Qalqilya,PS0120,political_violence,2,0
2016-09-01,2016,9,September,West Bank,Salfit,PS0125,political_violence,0,0
2016-09-01,2016,9,September,West Bank,Nablus,PS0115,political_violence,9,1
2016-09-01,2016,9,September,West Bank,Ramallah and Al Bireh,PS0130,political_violence,2,0
2016-09-01,2016,9,September,West Bank,Bethlehem,PS0145,political_violence,4,1
2016-09-01,2016,9,September,West Bank,Al Quds,PS0140,political_violence,8,4
2016-09-01,2016,9,September,West Bank,Hebron,PS0150,political_violence,13,7
2016-09-01,2016,9,September,West Bank,Tulkarm,PS0110,political_violence,2,1
2016-09-01,2016,9,September,West Bank,Tubas,PS0105,political_violence,0,0
2016-10-01,2016,10,October,West Bank,Jenin,PS0101,political_violence,5,0
2016-10-01,2016,10,October,West Bank,Jericho,PS0135,political_violence,0,0
2016-10-01,2016,10,October,West Bank,Qalqilya,PS0120,political_violence,1,0
2016-10-01,2016,10,October,West Bank,Salfit,PS0125,political_violence,1,1
2016-10-01,2016,10,October,West Bank,Nablus,PS0115,political_violence,13,1
2016-10-01,2016,10,October,West Bank,Ramallah and Al Bireh,PS0130,political_violence,7,2
2016-10-01,2016,10,October,West Bank,Bethlehem,PS0145,political_violence,6,0
2016-10-01,2016,10,October,West Bank,Al Quds,PS0140,political_violence,16,5
2016-10-01,2016,10,October,West Bank,Hebron,PS0150,political_violence,7,4
2016-10-01,2016,10,October,West Bank,Tulkarm,PS0110,political_violence,3,0
2016-10-01,2016,10,October,West Bank,Tubas,PS0105,political_violence,1,0
2016-11-01,2016,11,November,West Bank,Jenin,PS0101,political_violence,0,0
2016-11-01,2016,11,November,West Bank,Jericho,PS0135,political_violence,1,0
2016-11-01,2016,11,November,West Bank,Qalqilya,PS0120,political_violence,3,0
2016-11-01,2016,11,November,West Bank,Salfit,PS0125,political_violence,0,0
2016-11-01,2016,11,November,West Bank,Nablus,PS0115,political_violence,7,2
2016-11-01,2016,11,November,West Bank,Ramallah and Al Bireh,PS0130,political_violence,10,1
2016-11-01,2016,11,November,West Bank,Bethlehem,PS0145,political_violence,3,0
2016-11-01,2016,11,November,West Bank,Al Quds,PS0140,political_violence,13,4
2016-11-01,2016,11,November,West Bank,Hebron,PS0150,political_violence,2,0
2016-11-01,2016,11,November,West Bank,Tulkarm,PS0110,political_violence,2,0
2016-11-01,2016,11,November,West Bank,Tubas,PS0105,political_violence,0,0
2016-12-01,2016,12,December,West Bank,Jenin,PS0101,political_violence,1,0
2016-12-01,2016,12,December,West Bank,Jericho,PS0135,political_violence,0,0
2016-12-01,2016,12,December,West Bank,Qalqilya,PS0120,political_violence,3,0
2016-12-01,2016,12,December,West Bank,Salfit,PS0125,political_violence,1,1
2016-12-01,2016,12,December,West Bank,Nablus,PS0115,political_violence,4,0
2016-12-01,2016,12,December,West Bank,Ramallah and Al Bireh,PS0130,political_violence,5,1
2016-12-01,2016,12,December,West Bank,Bethlehem,PS0145,political_violence,4,0
2016-12-01,2016,12,December,West Bank,Al Quds,PS0140,political_violence,10,2
2016-12-01,2016,12,December,West Bank,Hebron,PS0150,political_violence,4,0
2016-12-01,2016,12,December,West Bank,Tulkarm,PS0110,political_violence,1,0
2016-12-01,2016,12,December,West Bank,Tubas,PS0105,political_violence,0,0
2017-01-01,2017,1,January,West Bank,Jenin,PS0101,political_violence,6,1
2017-01-01,2017,1,January,West Bank,Jericho,PS0135,political_violence,0,0
2017-01-01,2017,1,January,West Bank,Qalqilya,PS0120,political_violence,1,0
2017-01-01,2017,1,January,West Bank,Salfit,PS0125,political_violence,1,0
2017-01-01,2017,1,January,West Bank,Nablus,PS0115,political_violence,5,0
2017-01-01,2017,1,January,West Bank,Ramallah and Al Bireh,PS0130,political_violence,8,0
2017-01-01,2017,1,January,West Bank,Bethlehem,PS0145,political_violence,4,1
2017-01-01,2017,1,January,West Bank,Al Quds,PS0140,political_violence,7,6
2017-01-01,2017,1,January,West Bank,Hebron,PS0150,political_violence,3,1
2017-01-01,2017,1,January,West Bank,Tulkarm,PS0110,political_violence,4,1
2017-01-01,2017,1,January,West Bank,Tubas,PS0105,political_violence,2,2
2017-02-01,2017,2,February,West Bank,Jenin,PS0101,political_violence,1,0
2017-02-01,2017,2,February,West Bank,Jericho,PS0135,political_violence,0,0
2017-02-01,2017,2,February,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-02-01,2017,2,February,West Bank,Salfit,PS0125,political_violence,2,0
2017-02-01,2017,2,February,West Bank,Nablus,PS0115,political_violence,6,0
2017-02-01,2017,2,February,West Bank,Ramallah and Al Bireh,PS0130,political_violence,6,1
2017-02-01,2017,2,February,West Bank,Bethlehem,PS0145,political_violence,6,1
2017-02-01,2017,2,February,West Bank,Al Quds,PS0140,political_violence,8,0
2017-02-01,2017,2,February,West Bank,Hebron,PS0150,political_violence,3,0
2017-02-01,2017,2,February,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-02-01,2017,2,February,West Bank,Tubas,PS0105,political_violence,1,0
2017-03-01,2017,3,March,West Bank,Jenin,PS0101,political_violence,6,0
2017-03-01,2017,3,March,West Bank,Jericho,PS0135,political_violence,0,0
2017-03-01,2017,3,March,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-03-01,2017,3,March,West Bank,Salfit,PS0125,political_violence,0,0
2017-03-01,2017,3,March,West Bank,Nablus,PS0115,political_violence,7,2
2017-03-01,2017,3,March,West Bank,Ramallah and Al Bireh,PS0130,political_violence,8,3
2017-03-01,2017,3,March,West Bank,Bethlehem,PS0145,political_violence,4,1
2017-03-01,2017,3,March,West Bank,Al Quds,PS0140,political_violence,12,2
2017-03-01,2017,3,March,West Bank,Hebron,PS0150,political_violence,6,2
2017-03-01,2017,3,March,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-03-01,2017,3,March,West Bank,Tubas,PS0105,political_violence,1,0
2017-04-01,2017,4,April,West Bank,Jenin,PS0101,political_violence,6,0
2017-04-01,2017,4,April,West Bank,Jericho,PS0135,political_violence,0,0
2017-04-01,2017,4,April,West Bank,Qalqilya,PS0120,political_violence,3,0
2017-04-01,2017,4,April,West Bank,Salfit,PS0125,political_violence,1,0
2017-04-01,2017,4,April,West Bank,Nablus,PS0115,political_violence,13,0
2017-04-01,2017,4,April,West Bank,Ramallah and Al Bireh,PS0130,political_violence,8,1
2017-04-01,2017,4,April,West Bank,Bethlehem,PS0145,political_violence,3,1
2017-04-01,2017,4,April,West Bank,Al Quds,PS0140,political_violence,14,1
2017-04-01,2017,4,April,West Bank,Hebron,PS0150,political_violence,7,0
2017-04-01,2017,4,April,West Bank,Tulkarm,PS0110,political_violence,1,0
2017-04-01,2017,4,April,West Bank,Tubas,PS0105,political_violence,1,0
2017-05-01,2017,5,May,West Bank,Jenin,PS0101,political_violence,4,0
2017-05-01,2017,5,May,West Bank,Jericho,PS0135,political_violence,2,0
2017-05-01,2017,5,May,West Bank,Qalqilya,PS0120,political_violence,5,0
2017-05-01,2017,5,May,West Bank,Salfit,PS0125,political_violence,0,0
2017-05-01,2017,5,May,West Bank,Nablus,PS0115,political_violence,14,0
2017-05-01,2017,5,May,West Bank,Ramallah and Al Bireh,PS0130,political_violence,12,1
2017-05-01,2017,5,May,West Bank,Bethlehem,PS0145,political_violence,4,1
2017-05-01,2017,5,May,West Bank,Al Quds,PS0140,political_violence,15,4
2017-05-01,2017,5,May,West Bank,Hebron,PS0150,political_violence,9,0
2017-05-01,2017,5,May,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-05-01,2017,5,May,West Bank,Tubas,PS0105,political_violence,0,0
2017-06-01,2017,6,June,West Bank,Jenin,PS0101,political_violence,4,1
2017-06-01,2017,6,June,West Bank,Jericho,PS0135,political_violence,0,0
2017-06-01,2017,6,June,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-06-01,2017,6,June,West Bank,Salfit,PS0125,political_violence,0,0
2017-06-01,2017,6,June,West Bank,Nablus,PS0115,political_violence,8,0
2017-06-01,2017,6,June,West Bank,Ramallah and Al Bireh,PS0130,political_violence,12,0
2017-06-01,2017,6,June,West Bank,Bethlehem,PS0145,political_violence,3,0
2017-06-01,2017,6,June,West Bank,Al Quds,PS0140,political_violence,16,8
2017-06-01,2017,6,June,West Bank,Hebron,PS0150,political_violence,8,1
2017-06-01,2017,6,June,West Bank,Tulkarm,PS0110,political_violence,1,0
2017-06-01,2017,6,June,West Bank,Tubas,PS0105,political_violence,0,0
2017-07-01,2017,7,July,West Bank,Jenin,PS0101,political_violence,4,2
2017-07-01,2017,7,July,West Bank,Jericho,PS0135,political_violence,0,0
2017-07-01,2017,7,July,West Bank,Qalqilya,PS0120,political_violence,4,0
2017-07-01,2017,7,July,West Bank,Salfit,PS0125,political_violence,2,0
2017-07-01,2017,7,July,West Bank,Nablus,PS0115,political_violence,8,0
2017-07-01,2017,7,July,West Bank,Ramallah and Al Bireh,PS0130,political_violence,12,4
2017-07-01,2017,7,July,West Bank,Bethlehem,PS0145,political_violence,14,4
2017-07-01,2017,7,July,West Bank,Al Quds,PS0140,political_violence,36,10
2017-07-01,2017,7,July,West Bank,Hebron,PS0150,political_violence,18,2
2017-07-01,2017,7,July,West Bank,Tulkarm,PS0110,political_violence,2,0
2017-07-01,2017,7,July,West Bank,Tubas,PS0105,political_violence,1,0
2017-08-01,2017,8,August,West Bank,Jenin,PS0101,political_violence,3,0
2017-08-01,2017,8,August,West Bank,Jericho,PS0135,political_violence,2,0
